source_group,target_group,ligand,receptor,pathway,ligand_mean,receptor_mean,ligand_pct,receptor_pct,score,reference
Ionocyte,Suprabasal,DLL1,NOTCH1,Notch,0.49789733,1.25282,16.83673469387755,47.49462035044574,0.6237757,Basal cell fate
Basal,Suprabasal,DLL1,NOTCH1,Notch,0.44593656,1.25282,14.849126521969296,47.49462035044574,0.55867827,Basal cell fate
Ciliated,Suprabasal,DLL1,NOTCH1,Notch,0.43699107,1.25282,16.363636363636363,47.49462035044574,0.54747117,Basal cell fate
Ionocyte,Suprabasal,WNT5A,FZD6,Wnt,0.41888872,1.1150985,13.77551020408163,44.543498309252996,0.46710217,Planar polarity
Ionocyte,Ciliated,WNT5A,FZD6,Wnt,0.41888872,1.0492047,13.77551020408163,37.391304347826086,0.4395,Planar polarity
Secretory,Suprabasal,WNT5A,FZD6,Wnt,0.34545147,1.1150985,13.579126488939309,44.543498309252996,0.38521242,Planar polarity
Ionocyte,Secretory,DLL1,NOTCH2,Notch,0.49789733,0.72912484,16.83673469387755,28.02041973908111,0.3630293,Basal cell fate
Secretory,Ciliated,WNT5A,FZD6,Wnt,0.34545147,1.0492047,13.579126488939309,37.391304347826086,0.36244932,Planar polarity
Ionocyte,Suprabasal,DLL1,NOTCH3,Notch,0.49789733,0.70270246,16.83673469387755,30.064555794651092,0.3498737,Basal cell fate
Suprabasal,Suprabasal,WNT5A,FZD6,Wnt,0.30359107,1.1150985,13.433753458346143,44.543498309252996,0.33853394,Planar polarity
Basal,Secretory,DLL1,NOTCH2,Notch,0.44593656,0.72912484,14.849126521969296,28.02041973908111,0.32514343,Basal cell fate
Ciliated,Secretory,DLL1,NOTCH2,Notch,0.43699107,0.72912484,16.363636363636363,28.02041973908111,0.31862104,Basal cell fate
Suprabasal,Ciliated,WNT5A,FZD6,Wnt,0.30359107,1.0492047,13.433753458346143,37.391304347826086,0.3185292,Planar polarity
Basal,Suprabasal,DLL1,NOTCH3,Notch,0.44593656,0.70270246,14.849126521969296,30.064555794651092,0.31336072,Basal cell fate
Ciliated,Suprabasal,DLL1,NOTCH3,Notch,0.43699107,0.70270246,16.363636363636363,30.064555794651092,0.3070747,Basal cell fate
Ionocyte,Basal,WNT5A,FZD6,Wnt,0.41888872,0.72519636,13.77551020408163,24.695606140815247,0.30377656,Planar polarity
Basal,Suprabasal,WNT5A,FZD6,Wnt,0.2628587,1.1150985,9.184753838009529,44.543498309252996,0.29311332,Planar polarity
Basal,Ciliated,WNT5A,FZD6,Wnt,0.2628587,1.0492047,9.184753838009529,37.391304347826086,0.27579257,Planar polarity
Ionocyte,Suprabasal,DLL1,NOTCH2,Notch,0.49789733,0.55338997,16.83673469387755,23.854903166308024,0.27553138,Basal cell fate
Suprabasal,Basal,LTC4S,CYSLTR1,CysLT,0.8157669,0.31419545,32.677528435290505,10.322922181048174,0.25631025,Ualiyeva 2020
